transaction_id,user_id,timestamp,amount,merchant_category,hour,day_of_week,month,user_age,account_age_days,transaction_count_day,amount_last_hour,amount_last_day,velocity_1h,avg_amount_30d,std_amount_30d,geographic_risk,device_risk,device_type,payment_method,time_since_last_transaction,is_fraud
txn_000010,user_7287,2025-09-10 17:15:01.720582,52.17,grocery,23,2,9,26,1177,6,139.16256135817636,865.4408645730339,4,354.9039628290271,22.985809207014107,0.4096744466394248,0.11324788759896898,tablet,card_swipe,493,0
txn_000011,user_3385,2025-09-16 09:15:01.720688,67.83,grocery,7,1,9,28,502,2,184.93872365571255,883.4723857119319,3,152.84750980878485,51.49188687726851,0.7857346746635485,0.25831794563550714,mobile,contactless,901,0
txn_000012,user_8400,2025-09-01 05:15:01.720798,47.14,online,11,0,9,36,845,3,171.2648583756185,434.28272076608056,1,338.9142407694295,35.14519369910879,0.12930297127569101,0.4492770942635396,desktop,online,1140,0
txn_000013,user_3961,2025-08-18 14:15:01.720904,65.41,restaurant,2,0,8,19,851,3,130.3922519005201,263.05584398753183,1,58.133913626984395,108.90086873301823,0.14305816737706306,0.18323439229142996,tablet,online,405,0
txn_000014,user_7893,2025-09-16 01:15:01.721014,13.88,gas_station,15,1,9,68,467,8,126.22772519945258,805.070738364566,1,309.6067480818616,108.6531848873955,0.15619439023843562,0.36122605763075266,tablet,card_swipe,551,0
txn_000015,user_3205,2025-08-31 00:15:01.721119,25.23,gas_station,16,6,8,63,1426,6,74.03174005108887,64.68378570242406,5,242.68286674279145,193.9978674278605,0.7708959816714023,0.42650472773368003,tablet,card_chip,985,0
txn_000016,user_6854,2025-08-25 16:15:01.721391,67.63,restaurant,0,0,8,20,1925,8,41.78374352307203,687.586340982848,2,164.37364208138246,73.15230591540897,0.2580406113908804,0.4243348974623372,mobile,online,250,0
txn_000017,user_3806,2025-09-01 10:15:01.721560,15.71,restaurant,6,0,9,52,1871,9,122.3027421731361,127.51447138022834,1,332.55248672688623,54.9693116321676,0.05675273359994213,0.1983919136069442,desktop,card_swipe,475,0
txn_000018,user_4769,2025-09-02 15:15:01.721680,33.6,gas_station,1,1,9,39,343,6,50.05027210317281,86.89299770795205,3,107.17723069334815,114.00378680986479,0.6159948424788887,0.10791051374842159,mobile,online,1224,0
txn_000019,user_5142,2025-09-11 04:15:01.721791,59.26,online,12,3,9,72,965,4,26.549084448593963,971.060023758451,2,195.3304128235607,163.13351505836667,0.21666580100965938,0.21948571035281805,tablet,contactless,745,0
txn_000020,user_2664,2025-08-21 20:15:01.721899,324.18,restaurant,20,3,8,18,1804,2,47.957471831480646,139.17962557722717,1,347.08881952297907,70.38810145026972,0.7638922245305553,0.36894845834788426,tablet,card_chip,794,0
txn_000021,user_5249,2025-08-18 18:15:01.722005,27.73,online,22,0,8,54,1139,9,68.37593334328031,137.20911252276977,1,190.1359892260824,196.31189515187154,0.14026421591147084,0.008580550915875118,desktop,card_swipe,345,0
txn_000022,user_7665,2025-09-10 13:15:01.722113,7.43,gas_station,3,2,9,53,831,4,74.92252292529425,644.5669199285246,2,275.46794776186664,117.08794071201126,0.5471710155185129,0.3079255821949569,tablet,contactless,501,0
txn_000023,user_7833,2025-08-19 21:15:01.722222,14.88,online,19,1,8,50,1982,3,164.12789514879108,644.6426865964942,1,482.5357537207614,182.96311555209147,0.15663290783143716,0.03468065043758273,tablet,contactless,1281,0
txn_000024,user_1417,2025-08-28 23:15:01.722327,44.34,online,17,3,8,58,1956,4,138.57807173838788,380.9197742305375,3,444.86240608717384,152.31278788469945,0.6427847443078789,0.14101728628565324,desktop,card_chip,461,0
txn_000025,user_5079,2025-08-24 14:15:01.722431,33.35,retail,2,6,8,35,1038,7,116.10880246878197,873.760776849236,5,157.36858690565307,142.37206038204425,0.5919270083578997,0.11911807620198972,desktop,card_chip,66,0
txn_000026,user_1395,2025-08-28 01:15:01.722534,30.28,gas_station,15,3,8,58,1968,9,63.86272751808298,952.5588686982646,4,308.04704965547876,133.73069819056388,0.35875641758265586,0.14660538584903227,mobile,card_swipe,895,0
txn_000027,user_2167,2025-08-27 13:15:01.722647,40.52,grocery,3,2,8,56,138,5,98.88406094051629,104.68082201581207,2,248.68872561801965,179.78675289649397,0.280732010041663,0.05853350821380293,mobile,contactless,958,0
txn_000028,user_7313,2025-09-05 00:15:01.722815,69.75,grocery,16,4,9,67,824,2,16.269756128379953,130.59582838093232,3,311.58743775205204,175.36493395802069,0.7042879749107335,0.11834259684103937,tablet,card_chip,1329,0
txn_000029,user_4486,2025-09-13 13:15:01.722934,32.89,online,3,5,9,61,1235,7,84.84440184939525,911.0366658399992,3,164.15697824291243,92.93637562065508,0.45717842016400856,0.37048693045533415,mobile,online,1389,0
txn_000030,user_2531,2025-09-10 16:15:01.723045,31.83,grocery,0,2,9,42,853,1,44.71916770389053,965.0614124685808,4,490.0553009394219,120.08090695566521,0.25814911062206697,0.02170039164908638,mobile,online,768,0
txn_000031,user_7190,2025-09-12 13:15:01.723151,13.2,grocery,3,4,9,66,1579,1,125.5116160168127,605.0985963269452,1,461.86445375109787,192.5664333334123,0.04629111820616592,0.19726089930406493,mobile,card_swipe,1150,0
txn_000032,user_5964,2025-08-20 13:15:01.723256,153.33,grocery,3,2,8,53,1757,6,6.463190221930093,315.7753318104984,5,416.2077588681269,143.25161105969826,0.13009355147591303,0.45546359224692123,mobile,contactless,887,0
txn_000033,user_1009,2025-09-12 02:15:01.723361,8.93,restaurant,14,4,9,62,1058,7,82.25102331707382,788.7221695484643,2,494.274258191725,47.075040398635075,0.47530457228170814,0.19044542831551076,desktop,online,799,0
txn_000034,user_6989,2025-08-31 04:15:01.723468,76.9,online,12,6,8,70,1076,5,145.22416881436962,769.2271419403331,3,161.30664578443896,101.09794435581684,0.103327532121196,0.4770255136293612,mobile,card_swipe,453,0
txn_000035,user_4419,2025-08-31 09:15:01.723576,369.27,restaurant,7,6,8,51,467,6,166.27429801250025,342.38837778249695,1,298.3580774485185,120.96883487636953,0.701322882126676,0.20174143310619852,tablet,online,923,0
txn_000036,user_7881,2025-09-02 12:15:01.723681,20.8,restaurant,4,1,9,51,1903,3,180.83173889874968,380.84269367213534,1,402.6438557335144,91.37770081782863,0.4976693601822988,0.4311818543733726,mobile,card_chip,904,0
txn_000037,user_3832,2025-09-06 17:15:01.723792,108.42,retail,23,5,9,37,1013,5,196.0065150570954,517.987189293226,5,144.1088559853314,124.33698820491291,0.27325056836523604,0.26863170835703504,tablet,online,852,0
txn_000038,user_9472,2025-09-05 19:15:01.723901,95.61,online,21,4,9,49,1248,2,120.38707910819204,262.65661261100456,5,126.02077838247405,70.14626102575255,0.14160838742139745,0.044351266878527806,mobile,card_chip,237,0
txn_000039,user_8240,2025-09-05 03:15:01.724005,21.93,restaurant,13,4,9,74,76,9,137.5569434192166,536.0741628698981,3,464.3925802393159,30.994032773875475,0.221502118517763,0.40310063989653067,mobile,online,1281,0
txn_000040,user_9150,2025-08-28 02:15:01.724112,52.71,restaurant,14,3,8,62,695,8,26.62338571749565,702.8072301331646,3,289.45106836939203,39.29096204115969,0.35792989345876375,0.2663086332275116,tablet,card_swipe,489,0
txn_000041,user_2296,2025-08-20 07:15:01.724218,57.78,restaurant,9,2,8,61,566,1,68.58537285565205,500.27144435902835,2,405.12705737330225,109.7195958072303,0.06953623046993895,0.2685532709092739,desktop,online,1397,0
txn_000042,user_2761,2025-09-04 22:15:01.724322,111.21,online,18,3,9,73,344,6,121.15496387137743,275.36545214919477,5,118.78661263294941,64.27239110921147,0.12854509860764454,0.09328351202565288,desktop,contactless,827,0
txn_000043,user_3590,2025-09-07 18:15:01.724430,40.88,gas_station,22,6,9,53,949,6,79.57111980914833,970.9969116116005,4,52.385002878922435,195.51208933012566,0.39259902340702757,0.36144804831088784,desktop,card_chip,198,0
txn_000044,user_7469,2025-09-02 06:15:01.724543,138.8,restaurant,10,1,9,71,865,3,39.90138546766395,749.4348245135637,4,101.67657113264158,129.91160763949387,0.23090444259220463,0.29061911071130614,tablet,online,849,0
txn_000045,user_1009,2025-09-06 14:15:01.724660,25.49,gas_station,2,5,9,40,1703,2,64.47076899494459,819.3807235619031,1,112.47114804890917,20.487961894579342,0.09335685131334506,0.2365831005259461,desktop,online,1123,0
txn_000046,user_3635,2025-08-31 12:15:01.724830,64.7,online,4,6,8,52,542,8,144.31931015025543,95.68991176588331,5,112.89756948183027,163.14811613478022,0.16130185603819563,0.08182797143285225,mobile,card_chip,9,0
txn_000047,user_5227,2025-08-29 03:15:01.724934,59.7,grocery,13,4,8,62,1095,9,136.59641268342648,479.3511712340873,3,330.84569488182694,117.16059114463394,0.35099574031067127,0.28874313545306285,mobile,card_chip,1011,0
txn_000048,user_2970,2025-08-25 15:15:01.725114,69.1,online,1,0,8,24,1232,8,138.74352148066768,208.394221993714,5,272.9406318817845,153.46296400502817,0.45852067940591096,0.49884630796192164,mobile,card_chip,1025,0
txn_000049,user_3243,2025-09-11 18:15:01.725346,118.02,restaurant,22,3,9,27,546,1,20.583206148829003,559.6572839103651,4,255.65009867675525,128.71241697305226,0.40183067797002414,0.26993031855641836,mobile,online,328,0
txn_000050,user_1793,2025-09-05 04:15:01.725612,218.31,online,12,4,9,44,98,4,36.31954336028513,913.0280332669469,2,476.2775028253169,47.60325256089443,0.4689838656134378,0.252944339442233,mobile,card_chip,832,0
txn_000051,user_4876,2025-09-06 05:15:01.725745,149.7,restaurant,11,5,9,66,633,9,84.8261342604772,749.6220238434867,1,466.5058308080493,101.15108685274377,0.0905904366726042,0.4924205994811673,desktop,card_swipe,1210,0
txn_000052,user_3708,2025-08-25 16:15:01.725927,691.38,grocery,0,0,8,70,1190,4,157.5579777428985,623.535455143632,3,229.1759121159245,116.73120852882612,0.7358844931302084,0.17317299718298063,desktop,online,422,0
txn_000053,user_5971,2025-08-21 00:15:01.726035,92.2,online,16,3,8,68,1235,8,115.52639081830944,207.23765155657512,5,461.68065548064504,85.23090184099397,0.46447068022243476,0.3161321439597652,desktop,card_chip,1077,0
txn_000054,user_6182,2025-09-10 00:15:01.726135,41.73,gas_station,16,2,9,57,590,7,119.07700346400875,113.72265351900612,3,144.45751689301358,181.6497720993285,0.16411171238560573,0.09534386033183329,mobile,card_chip,290,0
txn_000055,user_1768,2025-09-01 09:15:01.726233,18.06,online,7,0,9,64,1039,2,106.89117825144938,507.03355096820667,3,119.85811066882063,52.7470634891488,0.6894284968108139,0.47305773106681637,desktop,contactless,166,0
txn_000056,user_1832,2025-08-20 16:15:01.726333,88.7,grocery,0,2,8,72,1888,8,39.22261993869056,530.2324851507321,1,409.9622384179352,52.13803916978005,0.5221968862814997,0.11909139052336326,desktop,online,100,0
txn_000057,user_3538,2025-08-24 03:15:01.726430,25.21,retail,13,6,8,69,194,6,40.996859083164196,328.4903437479626,2,55.850865579831215,35.39153555380425,0.16630900411682187,0.013266101936909858,mobile,online,1313,0
txn_000058,user_5841,2025-08-19 23:15:01.726532,32.37,restaurant,17,1,8,20,500,7,53.61272816457525,642.9414624566773,1,246.25693811089252,73.00383671754518,0.7587626455697254,0.3818028970798804,mobile,contactless,1186,0
txn_000059,user_5831,2025-08-24 03:15:01.726633,155.87,grocery,13,6,8,67,1168,1,53.735471876989216,564.5525039278235,5,231.14751961864124,59.24415934893557,0.5160433342154636,0.2108519672766409,desktop,contactless,33,0
txn_000060,user_8184,2025-09-04 15:15:01.726731,66.41,gas_station,1,3,9,42,1027,7,21.31574602573487,183.01761172742656,3,455.00838883164727,177.30021396125275,0.47793048173624664,0.3002584302168267,mobile,card_chip,459,0
txn_000061,user_4028,2025-09-07 04:15:01.726828,20.52,retail,12,6,9,63,1629,2,33.256673751215885,751.1319356050519,3,90.65163225992355,158.77746659638612,0.05459976428327327,0.4185394953515147,tablet,card_swipe,680,0
txn_000062,user_3711,2025-08-31 10:15:01.726925,48.05,gas_station,6,6,8,73,1342,4,107.96855578163868,203.91318399700538,4,73.14161606791265,109.34592449622254,0.47747427913351137,0.1671219454084804,desktop,contactless,77,0
txn_000063,user_2240,2025-09-08 09:15:01.727022,95.12,gas_station,7,0,9,60,1669,9,49.280406647821366,828.1472017904897,5,51.052725781600216,194.18588987727557,0.004203054846707932,0.05154687300687244,mobile,card_swipe,821,0
txn_000064,user_2341,2025-08-19 00:15:01.727122,14.59,online,16,1,8,25,690,1,131.75667334214347,707.6627362919598,1,456.51371568621124,136.39968544108942,0.5545401691655398,0.025797903329355,desktop,online,1316,0
txn_000065,user_6913,2025-09-07 01:15:01.727226,43.54,gas_station,15,6,9,39,279,7,6.789195717159768,712.549253884498,1,136.6695625035337,40.75076382451118,0.33741012778441004,0.3976709189795487,tablet,contactless,376,0
txn_000066,user_8980,2025-09-10 14:15:01.727324,13.39,restaurant,2,2,9,20,834,8,88.20643234963232,434.26117719775823,1,292.2806706713544,139.09793151449747,0.59028461352522,0.2600840549393659,mobile,contactless,1136,0
txn_000067,user_4241,2025-08-18 15:15:01.727420,90.11,restaurant,1,0,8,47,280,7,37.09458191534449,414.76569542373943,3,81.51336758636197,21.707378053129652,0.04214706878178287,0.04427170530680907,desktop,card_chip,752,0
txn_000068,user_4760,2025-08-23 01:15:01.727516,10.16,online,15,5,8,62,1195,8,57.44779833081635,331.4927144331906,5,68.94193533636285,23.217308252014487,0.7901779117888252,0.21388656686793117,mobile,card_chip,1372,0
txn_000069,user_2828,2025-09-13 05:15:01.727615,9.41,gas_station,11,5,9,54,968,6,196.46610301601632,889.9890292249278,3,456.6757852288717,198.0532837664046,0.5946822583148993,0.03249320474144701,mobile,online,1338,0
txn_000070,user_3265,2025-08-26 22:15:01.727712,28.85,grocery,18,1,8,66,535,3,165.24113915879317,810.7312027733813,1,283.2171650043765,127.50933303746139,0.4200252006882146,0.13011668397576365,tablet,contactless,854,0
txn_000071,user_8906,2025-08-18 00:15:01.727807,32.1,gas_station,16,0,8,73,922,9,118.58798696834063,601.0818974459206,2,255.8444439981683,90.41055789446837,0.21836749988505197,0.2383384141651842,tablet,card_chip,742,0
txn_000072,user_1954,2025-09-05 07:15:01.727908,105.48,restaurant,9,4,9,41,1177,6,51.95075675206524,737.2491080041557,2,289.67113373034294,193.18195506656897,0.08757508804356312,0.4472399654840337,mobile,card_chip,1142,0
txn_000073,user_3396,2025-09-09 04:15:01.728004,407.57,online,12,1,9,20,1621,8,135.6032305118127,587.4453657960015,5,380.25946352916577,113.82685619247468,0.6945286432412376,0.12264276612766728,tablet,online,820,0
txn_000074,user_5286,2025-09-08 04:15:01.728103,158.65,online,12,0,9,55,729,7,176.32742655407003,963.249523775662,1,63.16127736555161,168.64701510165727,0.10309589397875617,0.16755942712957095,desktop,online,86,0
txn_000075,user_1294,2025-09-13 15:15:01.728200,175.79,restaurant,1,5,9,49,1578,1,111.9688624617659,160.05166394124478,2,335.30256639482513,117.19736834885398,0.6238763161209149,0.053490319413479204,desktop,online,590,0
txn_000076,user_6084,2025-09-08 15:15:01.728296,100.27,retail,1,0,9,37,1917,4,13.56741182103438,335.9153885994754,1,396.942931639461,147.54296082847327,0.3788591107480708,0.028960230279399146,tablet,contactless,310,0
txn_000077,user_9954,2025-09-03 02:15:01.728393,65.8,online,14,2,9,69,410,7,13.12522891480259,830.4373000370689,3,163.628937359772,20.18530637221401,0.12715062662140522,0.23426970838429217,mobile,online,401,0
txn_000078,user_2823,2025-09-08 10:15:01.728493,31.73,restaurant,6,0,9,64,1003,4,130.90224285622705,309.59655064829883,1,483.45649404805937,25.63441647455292,0.5850160535789485,0.4547622554739092,mobile,online,88,0
txn_000079,user_6626,2025-09-10 22:15:01.728594,131.25,grocery,18,2,9,55,1580,2,42.62094080501666,79.5773787402858,1,371.71581809101144,121.29505154180887,0.3772259680820102,0.27161640289497907,desktop,card_chip,1337,0
txn_000080,user_1959,2025-09-09 02:15:01.728690,37.7,retail,14,1,9,70,1589,3,37.09177493533087,488.9924262273776,1,323.287901718202,64.55719200860753,0.44673013806655837,0.11277007122186772,tablet,contactless,1018,0
txn_000081,user_1583,2025-08-26 20:15:01.728790,55.89,online,20,1,8,30,750,8,92.91971932716203,696.433795041359,2,265.9724756227056,128.0036986614747,0.2333300629674426,0.3474909430632713,mobile,card_swipe,106,0
txn_000082,user_7731,2025-09-08 09:15:01.728886,29.35,grocery,7,0,9,63,1725,6,123.63114686362383,717.3417220168988,2,399.11213110683025,189.42275076182958,0.0579330177170732,0.26712110298822256,mobile,card_chip,593,0
txn_000083,user_8014,2025-08-27 19:15:01.728982,84.5,restaurant,21,2,8,63,151,2,164.2881456019733,89.12432051530809,4,97.05552815048011,134.5574449178546,0.565180581189521,0.01579307241282102,desktop,card_chip,1387,0
txn_000084,user_9442,2025-09-07 23:15:01.729081,63.2,online,17,6,9,37,237,4,119.49517252638601,794.6409257479188,3,68.33934774161274,49.5199065781095,0.3508857731916307,0.36241327993702915,tablet,card_swipe,913,0
txn_000085,user_4638,2025-08-23 04:15:01.729182,92.03,retail,12,5,8,62,1957,7,86.73106679127778,91.47857482199313,4,299.91359792193407,149.45632008900748,0.18276379306503898,0.49816695802837097,mobile,online,928,0
txn_000086,user_8005,2025-09-06 22:15:01.729283,42.21,gas_station,18,5,9,48,986,8,85.09866688961507,378.63824291961475,4,395.4757496300511,110.8720787407432,0.43464041869063075,0.2569979339043625,mobile,card_swipe,1278,0
txn_000087,user_2394,2025-08-27 15:15:01.729384,10.29,restaurant,1,2,8,71,666,3,124.59331671269655,649.9822090878945,1,109.20545830726691,148.84849364277594,0.7272260165325128,0.08984155443512098,desktop,contactless,6,0
txn_000088,user_2646,2025-08-25 12:15:01.729491,10.48,grocery,4,0,8,37,159,7,32.70477451700455,421.5274598191727,1,229.5706757617,174.43752570608703,0.007224323303640201,0.2942063166703027,mobile,online,1331,0
txn_000089,user_1269,2025-09-06 07:15:01.729588,51.91,restaurant,9,5,9,46,1831,9,86.17750473236119,286.27855895824837,3,476.86250968314516,65.45500077357546,0.28740059833299647,0.1896792949612119,tablet,card_chip,691,0
txn_000090,user_3203,2025-09-12 05:15:01.729682,79.99,retail,11,4,9,37,1935,2,24.594161705925345,269.57436680626427,2,67.70459330082934,41.979784521804824,0.36175922262674826,0.46693750876395246,mobile,card_chip,1013,0
txn_000091,user_9467,2025-08-29 03:15:01.729776,83.93,gas_station,13,4,8,67,1269,2,64.6261314140557,974.4428606668291,3,269.9809611156141,140.03556635829878,0.11172100380505033,0.014986794936338976,mobile,card_swipe,1364,0
txn_000092,user_7812,2025-08-30 07:15:01.729870,36.8,gas_station,9,5,8,64,115,2,132.32647007422935,979.6997230305038,3,357.4616127303406,109.49145752151692,0.4942777921609711,0.4344524922393591,mobile,card_swipe,991,0
txn_000093,user_4072,2025-09-09 03:15:01.729970,35.61,online,13,1,9,48,1707,5,133.39430339818145,598.3259748761608,4,121.67935035926232,128.89170608429737,0.2544892428944956,0.4332193337638227,mobile,card_swipe,785,0
txn_000094,user_4173,2025-09-07 20:15:01.730066,96.01,retail,20,6,9,55,48,6,180.27512991768887,883.9966010892612,3,441.005281493257,87.62100533871077,0.23749541964822463,0.32453732939719654,mobile,online,1093,0
txn_000095,user_3875,2025-09-05 10:15:01.730161,77.91,gas_station,6,4,9,42,1470,1,109.13737769909469,472.19848011364144,2,314.17776846551794,50.319989325689534,0.5140607751577517,0.379672163961433,mobile,online,89,0
txn_000096,user_2177,2025-08-22 09:15:01.730254,34.67,grocery,7,4,8,29,1186,2,105.32475945379191,283.76617585809834,4,323.55729175705005,157.6789870775831,0.6503885909728748,0.3590615381132472,tablet,online,1009,0
txn_000097,user_5431,2025-08-26 18:15:01.730347,53.52,gas_station,22,1,8,32,822,4,185.40690895926133,107.25402077508281,5,265.63245324961997,55.02049817335418,0.13306528619451372,0.3086758787064871,mobile,card_swipe,498,0
txn_000098,user_7787,2025-08-21 02:15:01.730441,23.83,restaurant,14,3,8,42,379,7,136.22357079299655,222.3664303108456,5,133.06330829166484,73.1500920596558,0.6347258065182699,0.09261422327370483,desktop,online,1413,0
txn_000099,user_7284,2025-09-04 17:15:01.730547,64.29,gas_station,23,3,9,39,1273,9,158.74877007610326,664.2756177517172,2,212.34763359976992,183.06039886179687,0.6159557602013432,0.2783185289683586,tablet,card_chip,54,0
txn_000100,user_6010,2025-08-23 22:15:01.730643,152.76,retail,18,5,8,27,1022,7,117.32169263509482,209.61349735762025,3,441.16683109297367,105.12055381397279,0.42828648147412873,0.08922298261388606,mobile,online,423,0
txn_000101,user_9841,2025-08-20 10:15:01.730737,96.52,grocery,6,2,8,31,1130,9,99.35337177183388,988.3962442041429,3,318.67111260306126,141.65142411572768,0.3541735734236217,0.22289545728861448,mobile,card_chip,463,0
txn_000102,user_7764,2025-09-09 17:15:01.730839,73.9,retail,23,1,9,57,1794,1,119.15014563779134,431.12851833703354,1,151.9953810021446,83.89933504974871,0.0555390741968747,0.2595298954541352,desktop,card_swipe,521,0
txn_000103,user_2735,2025-09-04 20:15:01.731125,32.0,restaurant,20,3,9,20,1043,3,38.06497256381356,99.72193199718289,4,347.8276354322204,120.40101512660448,0.584520408191397,0.23260280614185908,desktop,card_swipe,457,0
txn_000104,user_1632,2025-09-04 02:15:01.731319,21.87,retail,14,3,9,34,1453,8,159.08999215794583,930.81892850548,5,103.92305090794085,195.3496331530428,0.016021084740659577,0.36859011250362156,mobile,card_chip,290,0
txn_000105,user_8121,2025-08-26 21:15:01.731556,59.22,grocery,19,1,8,70,813,6,31.86080412379606,109.95358142519265,4,186.40776017539787,67.36026258395171,0.2881091259772153,0.04382137338191927,tablet,card_chip,973,0
txn_000106,user_5406,2025-09-16 06:15:01.731785,66.24,online,10,1,9,39,1992,6,113.31507243428372,421.4906249052657,4,468.7678465897623,40.945951619385696,0.6539597667929533,0.19031164673829004,desktop,contactless,138,0
txn_000107,user_8693,2025-09-14 01:15:01.732078,49.59,grocery,15,6,9,32,1458,3,34.70490299730174,710.2035344573386,2,480.79529955256425,123.14745720755288,0.7461845923810039,0.28758167524831246,mobile,contactless,1317,0
txn_000108,user_8045,2025-09-13 03:15:01.732220,72.74,grocery,13,5,9,30,1170,2,13.634461877098714,74.52131160201263,1,154.64811126442106,34.39377098467435,0.6213789043773542,0.061017526062197514,mobile,online,850,0
txn_000109,user_3494,2025-08-27 23:15:01.732321,48.64,gas_station,17,2,8,60,283,2,130.04021847963068,194.4236104722157,3,303.9984908054971,54.520842006534906,0.16940428053238268,0.24230079350943234,desktop,card_chip,1084,0
txn_000110,user_7406,2025-09-02 08:15:01.732417,26.87,retail,8,1,9,50,1313,4,199.33937077059537,823.2717560307178,4,187.81412935397526,132.30125053249492,0.4216331711293213,0.21304169194518574,tablet,card_chip,772,0
txn_000111,user_2549,2025-08-19 14:15:01.732520,128.31,gas_station,2,1,8,39,1698,7,83.23079963595231,507.27694405355743,5,392.1304204049608,44.67974703121983,0.42824810516207334,0.10760093600861875,mobile,contactless,246,0
txn_000112,user_5798,2025-09-03 20:15:01.732616,13.63,gas_station,20,2,9,69,1821,7,29.847555590035224,170.83977455307712,2,196.10416710052698,152.72427392980393,0.3808145034950132,0.18794414257288466,mobile,contactless,558,0
txn_000113,user_5200,2025-08-27 07:15:01.732732,25.48,grocery,9,2,8,73,422,9,137.62694121730843,465.72296785262233,5,175.71547127062237,187.45739927080825,0.20244674624062764,0.3905852118934596,tablet,online,806,0
txn_000114,user_8340,2025-09-08 19:15:01.732834,28.77,online,21,0,9,22,1469,1,88.65461748872366,95.4392793744002,1,385.79326586682737,138.62639615666254,0.64170444650207,0.05268376697640298,mobile,card_chip,152,0
txn_000115,user_1365,2025-08-27 09:15:01.732937,64.61,retail,7,2,8,28,465,3,132.27412221408287,225.93578947409455,3,235.45891861824722,118.9308878694064,0.664427565123872,0.03435641625913388,desktop,contactless,996,0
txn_000116,user_4009,2025-09-01 00:15:01.733042,100.2,restaurant,16,0,9,20,1614,4,123.00259360777332,785.9020916058986,1,481.92193313416806,106.08595302366628,0.7166516778975056,0.16110775172231417,tablet,card_swipe,774,0
txn_000117,user_4983,2025-08-26 04:15:01.733213,202.58,retail,12,1,8,51,552,1,185.61672806520994,263.3848312516593,1,219.19680047359014,119.01654928246808,0.31092223890387766,0.08184190073265074,desktop,card_swipe,1200,0
txn_000118,user_1038,2025-08-29 03:15:01.733441,1605.75,grocery,13,4,8,29,1286,2,127.21415274596501,260.010202881042,4,74.23619314911176,77.61076985377701,0.827231135139382,0.4154650386416201,mobile,card_chip,774,1
txn_000119,user_5082,2025-08-18 20:15:01.733687,32.18,retail,20,0,8,30,307,5,118.06953809175458,532.942519570466,3,118.20621721445312,36.876245716200195,0.46173822663004005,0.438569220755702,mobile,online,140,0
txn_000120,user_6995,2025-09-07 01:15:01.733871,98.14,gas_station,15,6,9,20,478,4,19.835619917443182,431.4196000682238,2,345.9021407501104,75.96720740135976,0.5938784404580074,0.40755919224018394,tablet,online,1094,0
txn_000121,user_3649,2025-09-08 01:15:01.733979,47.75,restaurant,15,0,9,71,1065,1,2.206322852493159,762.0682102454439,5,215.57333808593802,78.84769094085424,0.11911044026595574,0.15280210774510744,tablet,card_chip,702,0
txn_000122,user_2929,2025-09-13 02:15:01.734077,55.41,online,14,5,9,43,1858,6,82.52436816972475,710.8372391719665,5,63.08212115477918,50.03932121387677,0.1450554239404042,0.1938367973751971,mobile,online,587,0
